GEN_DB,SP_DB,COUNTRY,LAT,LONG,Make SDM,Philippine map
Acisoma,panorpoides,Indonesia,-9.88246,120.66506,Yes,
Acisoma,panorpoides,Indonesia,-9.6539,119.8215,Yes,
Acisoma,panorpoides,Indonesia,-9.644,119.682,Yes,
Acisoma,panorpoides,Indonesia,-9.6071,119.4155,Yes,
Acisoma,panorpoides,Indonesia,-8.675,115.261,Yes,
Acisoma,panorpoides,Indonesia,-8.646,120.341,Yes,
Acisoma,panorpoides,Indonesia,-8.591,119.851,Yes,
Acisoma,panorpoides,Indonesia,-8.565,116.351,Yes,
Acisoma,panorpoides,Indonesia,-8.55944,115.425,Yes,
Acisoma,panorpoides,Indonesia,-8.55,115.16667,Yes,
Acisoma,panorpoides,Indonesia,-8.496,119.888,Yes,
Acisoma,panorpoides,Indonesia,-8.35003,115.19345,Yes,
Acisoma,panorpoides,Indonesia,-8.272,115.174,Yes,
Acisoma,panorpoides,Indonesia,-7.983,113.267,Yes,
Acisoma,panorpoides,Indonesia,-6.2349,106.9896,Yes,
Acisoma,panorpoides,Indonesia,-6.152,105.444,Yes,
Acisoma,panorpoides,Indonesia,-5.766667,112.666667,Yes,
Acisoma,panorpoides,Indonesia,-4.8625,103.930556,Yes,
Acisoma,panorpoides,Indonesia,-3.25249,104.67555,Yes,
Acisoma,panorpoides,Indonesia,-3.24281,107.52596,Yes,
Acisoma,panorpoides,Indonesia,-3.16495,108.0197,Yes,
Acisoma,panorpoides,Indonesia,-3.10692,107.85822,Yes,
Acisoma,panorpoides,Indonesia,-2.989193,107.52173,Yes,
Acisoma,panorpoides,Indonesia,-2.94474,107.527026,Yes,
Acisoma,panorpoides,Indonesia,-2.938678,107.521299,Yes,
Acisoma,panorpoides,Indonesia,-2.90318,107.453615,Yes,
Acisoma,panorpoides,Indonesia,-2.850744,107.40135,Yes,
Acisoma,panorpoides,Indonesia,-2.847304,107.404274,Yes,
Acisoma,panorpoides,Indonesia,-2.83333,107.91667,Yes,
Acisoma,panorpoides,Indonesia,-2.768966,107.62724,Yes,
Acisoma,panorpoides,Indonesia,-2.752,107.743,Yes,
Acisoma,panorpoides,Indonesia,-2.5315,112.9496,Yes,
Acisoma,panorpoides,Indonesia,-2.26564,106.01309,Yes,
Acisoma,panorpoides,Indonesia,-2.2,99.667,Yes,
Acisoma,panorpoides,Indonesia,-1.145,116.837,Yes,
Acisoma,panorpoides,Indonesia,-1.05,116.95,Yes,
Acisoma,panorpoides,Indonesia,-0.892,119.871,Yes,
Acisoma,panorpoides,Indonesia,-0.7046,102.511,Yes,
Acisoma,panorpoides,Indonesia,-0.666667,100.783333,Yes,
Acisoma,panorpoides,Indonesia,-0.5371,100.80485,Yes,
Acisoma,panorpoides,Indonesia,-0.46667,100.76667,Yes,
Acisoma,panorpoides,Indonesia,-0.44512,100.08,Yes,
Acisoma,panorpoides,Indonesia,-0.399,103.54,Yes,
Acisoma,panorpoides,Indonesia,-0.30907,100.37055,Yes,
Acisoma,panorpoides,Indonesia,-0.187814,101.63694,Yes,
Acisoma,panorpoides,Indonesia,0.2485,116.3062,Yes,
Acisoma,panorpoides,Indonesia,0.94952,101.34029,Yes,
Acisoma,panorpoides,Indonesia,0.95099,101.33083,Yes,
Acisoma,panorpoides,Indonesia,0.96919,101.26227,Yes,
Acisoma,panorpoides,Indonesia,2.5605,99.2912,Yes,
Acisoma,panorpoides,Indonesia,2.6798,98.8872,Yes,
Acisoma,panorpoides,Indonesia,3.2726,98.5494,Yes,
Acisoma,panorpoides,Indonesia,3.575,98.2856,Yes,
Acisoma,panorpoides,Indonesia,3.6001,98.4854,Yes,
Acisoma,panorpoides,Indonesia,3.66667,98.83333,Yes,
Acisoma,panorpoides,Indonesia,5.819,95.3,Yes,
Acisoma,panorpoides,Malaysia,1.3848,110.137,Yes,
Acisoma,panorpoides,Malaysia,1.402,110.316,Yes,
Acisoma,panorpoides,Malaysia,1.4185,110.1986,Yes,
Acisoma,panorpoides,Malaysia,1.4829,110.2726,Yes,
Acisoma,panorpoides,Malaysia,1.5055,110.1953,Yes,
Acisoma,panorpoides,Malaysia,1.52138,110.39033,Yes,
Acisoma,panorpoides,Malaysia,1.6418,109.7843,Yes,
Acisoma,panorpoides,Malaysia,1.867,103.183,Yes,
Acisoma,panorpoides,Malaysia,2.374167,102.607778,Yes,
Acisoma,panorpoides,Malaysia,2.438915,103.272858,Yes,
Acisoma,panorpoides,Malaysia,2.48972,102.2375,Yes,
Acisoma,panorpoides,Malaysia,2.5467,102.1731,Yes,
Acisoma,panorpoides,Malaysia,2.56477,102.12684,Yes,
Acisoma,panorpoides,Malaysia,2.649,102.123,Yes,
Acisoma,panorpoides,Malaysia,2.85708,101.61727,Yes,
Acisoma,panorpoides,Malaysia,2.8575,101.4089,Yes,
Acisoma,panorpoides,Malaysia,2.85815,101.61283,Yes,
Acisoma,panorpoides,Malaysia,2.85842,101.61138,Yes,
Acisoma,panorpoides,Malaysia,2.8783,101.3764,Yes,
Acisoma,panorpoides,Malaysia,2.9014,101.3528,Yes,
Acisoma,panorpoides,Malaysia,2.9089,101.3564,Yes,
Acisoma,panorpoides,Malaysia,2.91502,102.26042,Yes,
Acisoma,panorpoides,Malaysia,2.91772,102.26852,Yes,
Acisoma,panorpoides,Malaysia,2.92227,101.7832,Yes,
Acisoma,panorpoides,Malaysia,2.9391,113.1185,Yes,
Acisoma,panorpoides,Malaysia,3.055,102.629,Yes,
Acisoma,panorpoides,Malaysia,3.0666,101.87852,Yes,
Acisoma,panorpoides,Malaysia,3.06676,101.88039,Yes,
Acisoma,panorpoides,Malaysia,3.0833,101.61667,Yes,
Acisoma,panorpoides,Malaysia,3.10804,101.9108,Yes,
Acisoma,panorpoides,Malaysia,3.13107,101.65796,Yes,
Acisoma,panorpoides,Malaysia,3.14544,101.9211,Yes,
Acisoma,panorpoides,Malaysia,3.15,101.55,Yes,
Acisoma,panorpoides,Malaysia,3.15022,101.91209,Yes,
Acisoma,panorpoides,Malaysia,3.157917,102.00222,Yes,
Acisoma,panorpoides,Malaysia,3.16664,101.58079,Yes,
Acisoma,panorpoides,Malaysia,3.183,101.7,Yes,
Acisoma,panorpoides,Malaysia,3.2333,101.75,Yes,
Acisoma,panorpoides,Malaysia,3.35852,101.21938,Yes,
Acisoma,panorpoides,Malaysia,3.434,102.919,Yes,
Acisoma,panorpoides,Malaysia,3.4661,101.4421,Yes,
